unique_work_number,mp_name,state,constituency,work_name,work_category,recommended_amount,date_recommended,implementing_agency
W-1683,MP_12,Maharashtra,Constituency_2,Construction of Roads at location 920,Roads,2987741.14,2023-07-16,PWD
W-1684,MP_14,Kerala,Constituency_15,Construction of Drinking Water at location 464,Drinking Water,7454125.08,2023-01-15,Gram Panchayat
W-1685,MP_4,Uttar Pradesh,Constituency_10,Construction of Sanitation at location 645,Sanitation,5851046.32,2023-09-12,Municipal Corporation
W-1686,MP_19,Kerala,Constituency_18,Construction of Education at location 329,Education,4819779.46,2023-04-10,Municipal Corporation
W-1687,MP_24,West Bengal,Constituency_4,Construction of Sanitation at location 955,Sanitation,11085406.8,2023-10-28,PWD
W-1688,MP_8,Bihar,Constituency_10,Construction of Health at location 217,Health,12797405.72,2023-11-16,Zila Parishad
W-1689,MP_2,Kerala,Constituency_1,Construction of Drinking Water at location 147,Drinking Water,19632058.32,2023-03-13,Zila Parishad
W-1690,MP_32,Bihar,Constituency_2,Construction of Sanitation at location 89,Sanitation,5562407.19,2023-11-12,Municipal Corporation
W-1691,MP_32,Bihar,Constituency_13,Construction of Sanitation at location 132,Sanitation,11293060.27,2023-01-13,Municipal Corporation
W-1692,MP_25,Uttar Pradesh,Constituency_2,Construction of Sanitation at location 132,Sanitation,19089823.17,2023-05-24,Municipal Corporation
W-1693,MP_29,Bihar,Constituency_6,Construction of Drinking Water at location 46,Drinking Water,4811038.04,2023-01-28,Municipal Corporation
W-1694,MP_37,Uttar Pradesh,Constituency_19,Construction of Health at location 269,Health,19750681.87,2023-11-29,PWD
W-1695,MP_33,Kerala,Constituency_2,Construction of Health at location 682,Health,15918706.62,2023-10-23,Gram Panchayat
W-1696,MP_35,Uttar Pradesh,Constituency_12,Construction of Roads at location 348,Roads,16653373.84,2023-08-21,Municipal Corporation
W-1697,MP_34,Kerala,Constituency_12,Construction of Drinking Water at location 560,Drinking Water,14983069.2,2023-04-27,Gram Panchayat
W-1698,MP_33,Kerala,Constituency_12,Construction of Health at location 684,Health,12656112.55,2023-01-12,PWD
W-1699,MP_7,Uttar Pradesh,Constituency_9,Construction of Health at location 130,Health,2251602.18,2023-02-12,Zila Parishad
W-1700,MP_3,Uttar Pradesh,Constituency_5,Construction of Roads at location 175,Roads,12389309.81,2023-12-05,PWD
W-1701,MP_22,Kerala,Constituency_11,Construction of Sanitation at location 257,Sanitation,2980033.19,2023-06-14,PWD
W-1702,MP_46,Kerala,Constituency_9,Construction of Health at location 447,Health,16333639.07,2023-12-28,Municipal Corporation
W-1703,MP_32,West Bengal,Constituency_3,Construction of Drinking Water at location 261,Drinking Water,1626869.84,2023-01-16,Municipal Corporation
W-1704,MP_40,Bihar,Constituency_12,Construction of Health at location 615,Health,11267136.13,2023-02-19,PWD
W-1705,MP_7,Kerala,Constituency_16,Construction of Education at location 590,Education,12595628.73,2023-03-19,Zila Parishad
W-1706,MP_48,Kerala,Constituency_6,Construction of Drinking Water at location 848,Drinking Water,8015711.44,2023-07-22,Zila Parishad
W-1707,MP_40,Bihar,Constituency_13,Construction of Sanitation at location 817,Sanitation,11683241.91,2023-06-18,PWD
W-1708,MP_22,Kerala,Constituency_17,Construction of Sanitation at location 183,Sanitation,13951510.89,2023-05-25,Zila Parishad
W-1709,MP_46,West Bengal,Constituency_14,Construction of Education at location 526,Education,8650984.73,2023-03-26,Trust
W-1710,MP_42,Bihar,Constituency_13,Construction of Roads at location 801,Roads,6733215.21,2023-04-07,Zila Parishad
W-1711,MP_39,Bihar,Constituency_12,Construction of Health at location 521,Health,6780571.22,2023-07-10,Municipal Corporation
W-1712,MP_41,West Bengal,Constituency_12,Construction of Drinking Water at location 562,Drinking Water,4316301.16,2023-09-15,Zila Parishad
W-1713,MP_49,Maharashtra,Constituency_12,Construction of Sanitation at location 147,Sanitation,17311029.43,2023-08-28,PWD
W-1714,MP_34,Uttar Pradesh,Constituency_7,Construction of Drinking Water at location 254,Drinking Water,2216117.54,2023-06-29,PWD
W-1715,MP_31,West Bengal,Constituency_5,Construction of Sanitation at location 540,Sanitation,5921950.59,2023-03-25,PWD
W-1716,MP_31,Bihar,Constituency_15,Construction of Education at location 201,Education,727075.54,2023-04-17,Gram Panchayat
W-1717,MP_41,Maharashtra,Constituency_1,Construction of Health at location 612,Health,14548457.19,2023-09-09,Zila Parishad
W-1718,MP_32,Uttar Pradesh,Constituency_12,Construction of Drinking Water at location 373,Drinking Water,9443830.21,2023-09-30,Municipal Corporation
W-1719,MP_13,Kerala,Constituency_8,Construction of Health at location 58,Health,5390567.53,2023-03-20,Gram Panchayat
W-1720,MP_17,Maharashtra,Constituency_14,Construction of Roads at location 595,Roads,2257215.84,2023-09-26,PWD
W-1721,MP_20,West Bengal,Constituency_4,Construction of Education at location 42,Education,7948181.37,2023-08-07,PWD
W-1722,MP_9,Bihar,Constituency_19,Construction of Sanitation at location 532,Sanitation,14531389.06,2023-04-16,Zila Parishad
W-1723,MP_26,Bihar,Constituency_3,Construction of Sanitation at location 862,Sanitation,19838139.49,2023-12-22,Municipal Corporation
W-1724,MP_24,West Bengal,Constituency_15,Construction of Health at location 592,Health,3971396.32,2023-01-16,PWD
W-1725,MP_22,Kerala,Constituency_11,Construction of Education at location 832,Education,14945207.41,2023-06-01,Zila Parishad
W-1726,MP_5,Maharashtra,Constituency_13,Construction of Health at location 352,Health,12437093.85,2023-08-31,Municipal Corporation
W-1727,MP_34,Uttar Pradesh,Constituency_4,Construction of Health at location 351,Health,2932354.21,2023-04-09,Gram Panchayat
W-1728,MP_3,Bihar,Constituency_15,Construction of Roads at location 923,Roads,11468986.32,2023-10-31,PWD
W-1729,MP_11,Maharashtra,Constituency_13,Construction of Drinking Water at location 368,Drinking Water,14341191.91,2023-12-12,PWD
W-1730,MP_48,Bihar,Constituency_18,Construction of Sanitation at location 27,Sanitation,8395760.88,2023-12-26,Municipal Corporation
W-1731,MP_39,Kerala,Constituency_2,Construction of Roads at location 938,Roads,12869422.47,2023-08-24,Gram Panchayat
W-1732,MP_18,Bihar,Constituency_6,Construction of Education at location 206,Education,4769917.48,2023-02-09,Zila Parishad
W-1733,MP_20,Uttar Pradesh,Constituency_5,Construction of Education at location 421,Education,12011106.86,2023-08-06,Gram Panchayat
W-1734,MP_9,Maharashtra,Constituency_2,Construction of Education at location 525,Education,6561186.97,2023-03-10,PWD
W-1735,MP_3,Uttar Pradesh,Constituency_16,Construction of Roads at location 586,Roads,17598429.37,2023-12-17,PWD
W-1736,MP_13,Kerala,Constituency_1,Construction of Education at location 947,Education,12132062.01,2023-10-15,PWD
W-1737,MP_43,Kerala,Constituency_4,Construction of Education at location 939,Education,10656160.25,2023-09-25,Zila Parishad
W-1738,MP_40,West Bengal,Constituency_11,Construction of Health at location 907,Health,10176279.85,2023-12-18,Gram Panchayat
W-1739,MP_25,Uttar Pradesh,Constituency_14,Construction of Education at location 744,Education,12853938.23,2023-11-12,PWD
W-1740,MP_23,Maharashtra,Constituency_6,Construction of Sanitation at location 15,Sanitation,6950502.4,2023-09-16,PWD
W-1741,MP_14,Kerala,Constituency_16,Construction of Sanitation at location 568,Sanitation,19541788.49,2023-04-15,Gram Panchayat
W-1742,MP_29,Bihar,Constituency_4,Construction of Health at location 44,Health,8380142.03,2023-02-25,PWD
W-1743,MP_36,West Bengal,Constituency_1,Construction of Roads at location 159,Roads,17007422.62,2023-05-29,PWD
W-1744,MP_38,West Bengal,Constituency_5,Construction of Education at location 513,Education,11327634.79,2023-10-25,Zila Parishad
W-1745,MP_27,West Bengal,Constituency_18,Construction of Drinking Water at location 5,Drinking Water,9516054.79,2023-03-23,Municipal Corporation
W-1746,MP_5,Maharashtra,Constituency_5,Construction of Sanitation at location 864,Sanitation,12009508.35,2023-04-27,Municipal Corporation
W-1747,MP_16,West Bengal,Constituency_1,Construction of Education at location 368,Education,4953974.75,2023-08-06,Municipal Corporation
W-1748,MP_27,Bihar,Constituency_10,Construction of Education at location 25,Education,14331294.17,2023-10-21,Municipal Corporation
W-1749,MP_42,Kerala,Constituency_8,Construction of Sanitation at location 204,Sanitation,10114067.54,2023-01-08,Municipal Corporation
W-1750,MP_7,Maharashtra,Constituency_7,Construction of Education at location 493,Education,7113050.9,2023-05-18,Municipal Corporation
W-1751,MP_4,Maharashtra,Constituency_17,Construction of Education at location 426,Education,6233066.08,2023-09-16,Gram Panchayat
W-1752,MP_49,Uttar Pradesh,Constituency_17,Construction of Drinking Water at location 647,Drinking Water,17983144.74,2023-01-29,Zila Parishad
W-1753,MP_20,Maharashtra,Constituency_16,Construction of Drinking Water at location 389,Drinking Water,18530922.42,2023-07-29,Zila Parishad
W-1754,MP_47,Bihar,Constituency_13,Construction of Health at location 617,Health,14463229.54,2023-06-09,Municipal Corporation
W-1755,MP_33,Uttar Pradesh,Constituency_17,Construction of Drinking Water at location 746,Drinking Water,14845031.87,2023-02-05,Gram Panchayat
W-1756,MP_33,Kerala,Constituency_16,Construction of Health at location 230,Health,16396014.52,2023-04-17,Zila Parishad
W-1757,MP_17,Kerala,Constituency_15,Construction of Health at location 16,Health,7584827.27,2023-11-05,Municipal Corporation
W-1758,MP_2,Maharashtra,Constituency_6,Construction of Education at location 295,Education,4687334.94,2023-04-28,PWD
W-1759,MP_3,Bihar,Constituency_6,Construction of Sanitation at location 812,Sanitation,19191639.33,2023-10-14,Zila Parishad
W-1760,MP_13,Bihar,Constituency_10,Construction of Health at location 559,Health,16728639.86,2023-12-25,Gram Panchayat
W-1761,MP_29,Bihar,Constituency_13,Construction of Education at location 75,Education,9096674.7,2023-10-16,Zila Parishad
W-1762,MP_23,Uttar Pradesh,Constituency_5,Construction of Drinking Water at location 618,Drinking Water,19111730.05,2023-11-28,Gram Panchayat
W-1763,MP_21,Bihar,Constituency_18,Construction of Drinking Water at location 591,Drinking Water,1909298.33,2023-07-31,PWD
W-1764,MP_11,West Bengal,Constituency_1,Construction of Drinking Water at location 65,Drinking Water,7912927.77,2023-06-21,PWD
W-1765,MP_21,West Bengal,Constituency_11,Construction of Sanitation at location 530,Sanitation,16181956.69,2023-11-10,PWD
W-1766,MP_30,Kerala,Constituency_14,Construction of Drinking Water at location 661,Drinking Water,1573235.32,2023-11-14,Municipal Corporation
W-1767,MP_39,Bihar,Constituency_19,Construction of Drinking Water at location 8,Drinking Water,5302279.32,2023-02-14,PWD
W-1768,MP_48,Uttar Pradesh,Constituency_15,Construction of Roads at location 525,Roads,16157842.87,2023-06-12,Zila Parishad
W-1769,MP_3,Bihar,Constituency_10,Construction of Sanitation at location 259,Sanitation,12258574.89,2023-07-24,Municipal Corporation
W-1770,MP_29,West Bengal,Constituency_7,Construction of Sanitation at location 933,Sanitation,10470311.48,2023-10-06,Gram Panchayat
W-1771,MP_21,West Bengal,Constituency_6,Construction of Roads at location 842,Roads,5619729.49,2023-02-05,PWD
W-1772,MP_19,West Bengal,Constituency_19,Construction of Sanitation at location 595,Sanitation,13165882.41,2023-11-29,Zila Parishad
W-1773,MP_14,Kerala,Constituency_4,Construction of Health at location 892,Health,19265827.6,2023-01-13,Gram Panchayat
W-1774,MP_21,West Bengal,Constituency_14,Construction of Drinking Water at location 3,Drinking Water,5003362.46,2023-06-28,Zila Parishad
W-1775,MP_10,Uttar Pradesh,Constituency_14,Construction of Sanitation at location 530,Sanitation,17263478.18,2023-03-27,Municipal Corporation
W-1776,MP_5,Uttar Pradesh,Constituency_16,Construction of Sanitation at location 378,Sanitation,16510122.97,2023-09-09,Municipal Corporation
W-1777,MP_18,Kerala,Constituency_19,Construction of Education at location 485,Education,6579664.11,2023-11-25,Gram Panchayat
W-1778,MP_13,Bihar,Constituency_14,Construction of Roads at location 199,Roads,7231006.85,2023-11-28,Gram Panchayat
W-1779,MP_9,Maharashtra,Constituency_9,Construction of Health at location 119,Health,14779931.75,2023-02-10,Municipal Corporation
W-1780,MP_34,Bihar,Constituency_11,Construction of Roads at location 629,Roads,15979800.29,2023-04-30,Municipal Corporation
W-1781,MP_28,Kerala,Constituency_13,Construction of Drinking Water at location 916,Drinking Water,2239527.9,2023-04-15,Gram Panchayat
W-1782,MP_1,Kerala,Constituency_6,Construction of Health at location 761,Health,8587348.15,2023-09-18,Zila Parishad
W-1783,MP_43,Bihar,Constituency_18,Construction of Roads at location 932,Roads,1125222.58,2023-05-22,Municipal Corporation
W-1784,MP_42,Maharashtra,Constituency_4,Construction of Health at location 79,Health,14570300.71,2023-04-06,Zila Parishad
W-1785,MP_39,Bihar,Constituency_15,Construction of Health at location 705,Health,19912570.75,2023-01-05,Zila Parishad
W-1786,MP_1,Uttar Pradesh,Constituency_12,Construction of Sanitation at location 81,Sanitation,7669331.9,2023-12-27,Municipal Corporation
W-1787,MP_45,Kerala,Constituency_8,Construction of Sanitation at location 869,Sanitation,16217321.84,2023-09-19,Municipal Corporation
W-1788,MP_32,Maharashtra,Constituency_6,Construction of Drinking Water at location 461,Drinking Water,1634271.3,2023-08-03,PWD
W-1789,MP_16,Kerala,Constituency_19,Construction of Sanitation at location 474,Sanitation,16175751.82,2023-01-31,PWD
W-1790,MP_13,Bihar,Constituency_16,Construction of Drinking Water at location 733,Drinking Water,16702988.57,2023-10-09,PWD
W-1791,MP_3,Kerala,Constituency_6,Construction of Drinking Water at location 569,Drinking Water,12795162.27,2023-11-06,Municipal Corporation
W-1792,MP_22,Bihar,Constituency_14,Construction of Health at location 273,Health,1076068.39,2023-09-09,PWD
W-1793,MP_1,Uttar Pradesh,Constituency_15,Construction of Roads at location 560,Roads,11571650.65,2023-04-18,PWD
W-1794,MP_45,Kerala,Constituency_16,Construction of Roads at location 908,Roads,2054901.87,2023-12-15,PWD
W-1795,MP_26,Maharashtra,Constituency_15,Construction of Health at location 874,Health,9135578.85,2023-04-02,Municipal Corporation
W-1796,MP_2,Maharashtra,Constituency_10,Construction of Health at location 924,Health,14452366.12,2023-04-27,PWD
W-1797,MP_35,Kerala,Constituency_2,Construction of Drinking Water at location 757,Drinking Water,12512751.3,2023-10-14,Gram Panchayat
W-1798,MP_30,West Bengal,Constituency_3,Construction of Roads at location 42,Roads,18169127.07,2023-01-29,Municipal Corporation
W-1799,MP_14,Bihar,Constituency_16,Construction of Education at location 635,Education,17381169.35,2023-03-24,Zila Parishad
W-1800,MP_17,West Bengal,Constituency_4,Construction of Education at location 930,Education,12679646.4,2023-09-24,Municipal Corporation
W-1801,MP_16,Uttar Pradesh,Constituency_2,Construction of Roads at location 909,Roads,11797904.68,2023-03-28,Municipal Corporation
W-1802,MP_17,Uttar Pradesh,Constituency_6,Construction of Health at location 321,Health,6342056.78,2023-03-08,Municipal Corporation
W-1803,MP_13,Uttar Pradesh,Constituency_16,Construction of Health at location 179,Health,9582518.81,2023-05-13,PWD
W-1804,MP_8,Maharashtra,Constituency_18,Construction of Education at location 719,Education,13249684.29,2023-06-22,Gram Panchayat
W-1805,MP_39,Uttar Pradesh,Constituency_19,Construction of Health at location 674,Health,11776628.0,2023-10-10,Zila Parishad
W-1806,MP_17,Maharashtra,Constituency_19,Construction of Health at location 288,Health,9992738.0,2023-05-04,Zila Parishad
W-1807,MP_23,Bihar,Constituency_13,Construction of Roads at location 702,Roads,9908859.03,2023-07-01,Gram Panchayat
W-1808,MP_2,West Bengal,Constituency_14,Construction of Roads at location 18,Roads,12445559.76,2023-09-13,PWD
W-1809,MP_14,West Bengal,Constituency_2,Construction of Roads at location 28,Roads,19873280.43,2023-11-16,Zila Parishad
W-1810,MP_26,Uttar Pradesh,Constituency_7,Construction of Sanitation at location 438,Sanitation,18530144.95,2023-05-16,Zila Parishad
W-1811,MP_39,Uttar Pradesh,Constituency_18,Construction of Sanitation at location 806,Sanitation,10053669.19,2023-02-21,Municipal Corporation
W-1812,MP_22,Bihar,Constituency_16,Construction of Education at location 760,Education,8659712.4,2023-06-26,Municipal Corporation
W-1813,MP_15,Kerala,Constituency_15,Construction of Drinking Water at location 967,Drinking Water,12719551.82,2023-03-16,Zila Parishad
W-1814,MP_13,Uttar Pradesh,Constituency_9,Construction of Drinking Water at location 917,Drinking Water,862129.02,2023-03-06,Municipal Corporation
W-1815,MP_42,West Bengal,Constituency_8,Construction of Sanitation at location 756,Sanitation,14596569.65,2023-06-18,Zila Parishad
W-1816,MP_37,Kerala,Constituency_6,Construction of Health at location 161,Health,2279274.41,2023-01-29,Gram Panchayat
W-1817,MP_1,West Bengal,Constituency_13,Construction of Health at location 276,Health,7964489.01,2023-06-29,Gram Panchayat
W-1818,MP_42,Maharashtra,Constituency_12,Construction of Sanitation at location 991,Sanitation,7060005.67,2023-10-27,Trust
W-1819,MP_42,Kerala,Constituency_12,Construction of Drinking Water at location 828,Drinking Water,729419.34,2023-01-09,Municipal Corporation
W-1820,MP_44,Maharashtra,Constituency_3,Construction of Sanitation at location 105,Sanitation,7526262.18,2023-09-07,PWD
W-1821,MP_28,Bihar,Constituency_1,Construction of Drinking Water at location 570,Drinking Water,9389396.75,2023-12-01,Zila Parishad
W-1822,MP_13,West Bengal,Constituency_11,Construction of Health at location 450,Health,19576254.98,2023-02-22,Zila Parishad
W-1823,MP_14,West Bengal,Constituency_2,Construction of Roads at location 338,Roads,5095898.73,2023-11-03,Gram Panchayat
W-1824,MP_8,West Bengal,Constituency_2,Construction of Health at location 245,Health,15908244.54,2023-09-12,Zila Parishad
W-1825,MP_21,Maharashtra,Constituency_15,Construction of Drinking Water at location 478,Drinking Water,11809258.62,2023-11-12,Zila Parishad
W-1826,MP_20,Bihar,Constituency_12,Construction of Drinking Water at location 606,Drinking Water,3270201.38,2023-10-24,PWD
W-1827,MP_40,Uttar Pradesh,Constituency_14,Construction of Roads at location 508,Roads,1910795.94,2023-01-25,PWD
W-1828,MP_40,West Bengal,Constituency_3,Construction of Roads at location 673,Roads,7914702.75,2023-03-19,Gram Panchayat
W-1829,MP_47,Uttar Pradesh,Constituency_11,Construction of Education at location 526,Education,10504853.75,2023-07-13,Gram Panchayat
W-1830,MP_32,West Bengal,Constituency_12,Construction of Sanitation at location 231,Sanitation,16282185.16,2023-07-20,Zila Parishad
W-1831,MP_49,Maharashtra,Constituency_12,Construction of Drinking Water at location 843,Drinking Water,16447015.78,2023-12-17,Municipal Corporation
W-1832,MP_24,Kerala,Constituency_4,Construction of Health at location 36,Health,14107042.14,2023-02-14,PWD
W-1833,MP_30,West Bengal,Constituency_10,Construction of Sanitation at location 766,Sanitation,7249164.25,2023-02-07,PWD
W-1834,MP_36,West Bengal,Constituency_11,Construction of Sanitation at location 912,Sanitation,15311455.76,2023-05-02,Gram Panchayat
W-1835,MP_12,Maharashtra,Constituency_18,Construction of Education at location 109,Education,6881381.0,2023-12-11,Gram Panchayat
W-1836,MP_40,Maharashtra,Constituency_7,Construction of Education at location 439,Education,3992826.04,2023-04-21,PWD
W-1837,MP_28,West Bengal,Constituency_17,Construction of Education at location 795,Education,5404504.27,2023-09-06,PWD
W-1838,MP_49,Bihar,Constituency_10,Construction of Health at location 656,Health,14363127.92,2023-12-23,Municipal Corporation
W-1839,MP_46,Uttar Pradesh,Constituency_9,Construction of Sanitation at location 720,Sanitation,5833305.88,2023-03-04,Municipal Corporation
W-1840,MP_44,Kerala,Constituency_9,Construction of Health at location 685,Health,18854534.82,2023-10-09,PWD
W-1841,MP_21,West Bengal,Constituency_6,Construction of Health at location 294,Health,19085666.16,2023-12-26,Gram Panchayat
W-1842,MP_38,West Bengal,Constituency_5,Construction of Health at location 203,Health,3831773.89,2023-09-01,Municipal Corporation
W-1843,MP_36,Uttar Pradesh,Constituency_7,Construction of Health at location 503,Health,14345572.28,2023-01-27,Trust
W-1844,MP_41,Bihar,Constituency_13,Construction of Roads at location 393,Roads,8964386.1,2023-07-10,PWD
W-1845,MP_43,Uttar Pradesh,Constituency_14,Construction of Health at location 46,Health,2983754.7,2023-08-24,Gram Panchayat
W-1846,MP_35,Maharashtra,Constituency_6,Construction of Health at location 743,Health,11480338.42,2023-09-19,PWD
W-1847,MP_45,Bihar,Constituency_8,Construction of Drinking Water at location 498,Drinking Water,18269494.96,2023-07-12,Municipal Corporation
W-1848,MP_37,West Bengal,Constituency_5,Construction of Education at location 92,Education,8245542.43,2023-11-04,Zila Parishad
W-1849,MP_18,Bihar,Constituency_12,Construction of Sanitation at location 16,Sanitation,13808614.16,2023-07-16,Municipal Corporation
W-1850,MP_16,Kerala,Constituency_8,Construction of Drinking Water at location 28,Drinking Water,1946102.56,2023-12-08,Municipal Corporation
W-1851,MP_15,Uttar Pradesh,Constituency_15,Construction of Drinking Water at location 24,Drinking Water,14747419.96,2023-01-26,Gram Panchayat
W-1852,MP_22,Bihar,Constituency_9,Construction of Roads at location 27,Roads,1934234.34,2023-12-15,Municipal Corporation
W-1853,MP_39,Maharashtra,Constituency_13,Construction of Roads at location 465,Roads,8060279.93,2023-12-08,PWD
W-1854,MP_32,Kerala,Constituency_12,Construction of Health at location 823,Health,3093472.45,2023-08-05,Municipal Corporation
W-1855,MP_46,Kerala,Constituency_7,Construction of Drinking Water at location 739,Drinking Water,15120181.13,2023-12-13,Trust
W-1856,MP_20,Bihar,Constituency_10,Construction of Drinking Water at location 10,Drinking Water,17099528.05,2023-05-03,Municipal Corporation
W-1857,MP_25,Kerala,Constituency_11,Construction of Roads at location 947,Roads,15634961.35,2023-09-26,Gram Panchayat
W-1858,MP_6,Kerala,Constituency_19,Construction of Health at location 444,Health,3906642.79,2023-12-25,Gram Panchayat
W-1859,MP_19,Maharashtra,Constituency_14,Construction of Sanitation at location 597,Sanitation,4127664.2,2023-09-30,Gram Panchayat
W-1860,MP_32,Maharashtra,Constituency_2,Construction of Roads at location 240,Roads,542589.84,2023-10-20,Zila Parishad
W-1861,MP_9,Bihar,Constituency_3,Construction of Education at location 715,Education,12835568.73,2023-10-25,Gram Panchayat
W-1862,MP_1,Kerala,Constituency_11,Construction of Sanitation at location 106,Sanitation,13593431.61,2023-11-17,Zila Parishad
W-1863,MP_16,Bihar,Constituency_12,Construction of Education at location 194,Education,13065131.16,2023-11-04,Municipal Corporation
W-1864,MP_20,Kerala,Constituency_8,Construction of Drinking Water at location 994,Drinking Water,1576743.72,2023-01-04,Gram Panchayat
W-1865,MP_14,Maharashtra,Constituency_19,Construction of Sanitation at location 399,Sanitation,19252502.06,2023-01-03,Municipal Corporation
W-1866,MP_5,Maharashtra,Constituency_19,Construction of Health at location 592,Health,13701492.3,2023-09-20,Municipal Corporation
W-1867,MP_32,Kerala,Constituency_17,Construction of Health at location 79,Health,12319137.2,2023-10-02,Gram Panchayat
W-1868,MP_18,Kerala,Constituency_16,Construction of Roads at location 135,Roads,15014568.44,2023-11-28,Gram Panchayat
W-1869,MP_16,West Bengal,Constituency_6,Construction of Health at location 472,Health,15240399.34,2023-06-21,PWD
W-1870,MP_49,Uttar Pradesh,Constituency_9,Construction of Drinking Water at location 512,Drinking Water,2993149.45,2023-12-04,Zila Parishad
W-1871,MP_44,Uttar Pradesh,Constituency_9,Construction of Sanitation at location 357,Sanitation,4010351.88,2023-11-27,Zila Parishad
W-1872,MP_14,Uttar Pradesh,Constituency_12,Construction of Drinking Water at location 670,Drinking Water,6834070.14,2023-01-30,PWD
W-1873,MP_35,Bihar,Constituency_6,Construction of Education at location 100,Education,6285990.31,2023-02-24,PWD
W-1874,MP_9,Bihar,Constituency_14,Construction of Education at location 599,Education,7120131.34,2023-11-27,Municipal Corporation
W-1875,MP_19,Uttar Pradesh,Constituency_11,Construction of Health at location 641,Health,14196724.78,2023-07-16,PWD
W-1876,MP_28,Bihar,Constituency_6,Construction of Drinking Water at location 470,Drinking Water,8093043.67,2023-09-04,PWD
W-1877,MP_36,Uttar Pradesh,Constituency_14,Construction of Roads at location 789,Roads,6354396.36,2023-11-16,Gram Panchayat
W-1878,MP_15,West Bengal,Constituency_9,Construction of Health at location 761,Health,16796005.45,2023-04-15,Zila Parishad
W-1879,MP_3,West Bengal,Constituency_3,Construction of Drinking Water at location 153,Drinking Water,10497417.41,2023-04-17,Zila Parishad
W-1880,MP_23,Bihar,Constituency_18,Construction of Health at location 372,Health,9947219.78,2023-04-23,Municipal Corporation
W-1881,MP_28,West Bengal,Constituency_13,Construction of Health at location 468,Health,15618657.2,2023-08-24,Gram Panchayat
W-1882,MP_32,Maharashtra,Constituency_15,Construction of Roads at location 530,Roads,3100934.11,2023-06-22,Municipal Corporation
W-1883,MP_28,Maharashtra,Constituency_17,Construction of Sanitation at location 790,Sanitation,1151358.63,2023-09-28,Municipal Corporation
W-1884,MP_44,West Bengal,Constituency_4,Construction of Education at location 962,Education,9152447.75,2023-08-06,Municipal Corporation
W-1885,MP_40,Maharashtra,Constituency_4,Construction of Education at location 994,Education,9282606.49,2023-01-19,Municipal Corporation
W-1886,MP_14,Kerala,Constituency_4,Construction of Health at location 408,Health,7383973.25,2023-01-06,PWD
W-1887,MP_3,West Bengal,Constituency_4,Construction of Sanitation at location 140,Sanitation,17593802.93,2023-10-27,Gram Panchayat
W-1888,MP_21,West Bengal,Constituency_19,Construction of Education at location 382,Education,16792942.27,2023-09-02,Municipal Corporation
W-1889,MP_26,Uttar Pradesh,Constituency_2,Construction of Drinking Water at location 824,Drinking Water,19726499.19,2023-12-18,Zila Parishad
W-1890,MP_41,Uttar Pradesh,Constituency_7,Construction of Sanitation at location 272,Sanitation,14920726.47,2023-10-03,Municipal Corporation
W-1891,MP_36,Kerala,Constituency_17,Construction of Health at location 963,Health,10221031.99,2023-12-18,Municipal Corporation
W-1892,MP_10,Maharashtra,Constituency_12,Construction of Drinking Water at location 298,Drinking Water,7760138.75,2023-09-01,Municipal Corporation
W-1893,MP_24,Kerala,Constituency_8,Construction of Education at location 367,Education,18418603.9,2023-06-07,Zila Parishad
W-1894,MP_24,Kerala,Constituency_18,Construction of Drinking Water at location 340,Drinking Water,12325926.62,2023-09-18,Gram Panchayat
W-1895,MP_20,Uttar Pradesh,Constituency_12,Construction of Drinking Water at location 674,Drinking Water,16813578.69,2023-07-11,Gram Panchayat
W-1896,MP_28,Bihar,Constituency_6,Construction of Drinking Water at location 685,Drinking Water,18884054.02,2023-07-19,Gram Panchayat
W-1897,MP_37,West Bengal,Constituency_15,Construction of Education at location 214,Education,13583698.57,2023-03-23,Zila Parishad
W-1898,MP_21,Uttar Pradesh,Constituency_11,Construction of Education at location 702,Education,17118177.03,2023-02-15,Gram Panchayat
W-1899,MP_49,Kerala,Constituency_8,Construction of Education at location 492,Education,9047489.12,2023-11-11,PWD
W-1900,MP_27,Bihar,Constituency_16,Construction of Sanitation at location 765,Sanitation,12282670.45,2023-10-18,PWD
W-1901,MP_15,Bihar,Constituency_18,Construction of Health at location 854,Health,18140793.22,2023-05-30,Gram Panchayat
W-1902,MP_2,Maharashtra,Constituency_1,Construction of Health at location 334,Health,1258468.34,2023-02-01,Municipal Corporation
W-1903,MP_27,Kerala,Constituency_10,Construction of Roads at location 658,Roads,12240985.69,2023-02-04,Gram Panchayat
W-1904,MP_3,Maharashtra,Constituency_2,Construction of Roads at location 78,Roads,1038820.74,2023-07-25,PWD
W-1905,MP_10,Bihar,Constituency_16,Construction of Health at location 918,Health,17496528.5,2023-01-16,PWD
W-1906,MP_27,Maharashtra,Constituency_15,Construction of Health at location 444,Health,2655556.61,2023-08-03,Municipal Corporation
W-1907,MP_14,West Bengal,Constituency_1,Construction of Roads at location 117,Roads,18473684.7,2023-08-29,Zila Parishad
W-1908,MP_44,West Bengal,Constituency_18,Construction of Drinking Water at location 770,Drinking Water,7921450.3,2023-09-30,Zila Parishad
W-1909,MP_19,Maharashtra,Constituency_2,Construction of Sanitation at location 972,Sanitation,19816602.11,2023-04-05,Municipal Corporation
W-1910,MP_8,Kerala,Constituency_7,Construction of Drinking Water at location 169,Drinking Water,1540305.39,2023-07-17,Gram Panchayat
